EgoN,Proximidad_alter
L,5
L,4
L,5
L,5
L,5
L,5
L,5
L,4
L,4
L,4
L,5
L,5
L,5
L,3
L,3
L,3
L,4
L,3
L,4
L,4
L,3
L,3
L,4
L,4
L,4
L,4
L,4
L,3
L,3
L,3
M,4
M,2
M,3
M,3
M,3
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,4
M,5
M,4
M,4
M,5
M,5
M,5
M,5
M,4
M,4
M,2
M,2
M,2
M,3
M,3
F,5
F,5
F,
F,2
F,2
F,2
F,2
F,2
F,3
F,2
F,2
F,2
F,5
F,5
F,2
F,4
F,2
F,2
F,2
F,2
F,2
F,2
F,4
F,5
F,5
F,4
F,4
F,4
F,4
F,4
B,5
B,5
B,5
B,4
B,5
B,2
B,3
B,3
B,4
B,3
B,3
B,3
B,3
B,4
B,3
B,3
B,2
B,4
B,3
B,3
B,4
B,1
B,4
B,2
B,4
B,2
B,2
B,3
B,1
B,2
G,5
G,5
G,5
G,2
G,5
G,5
G,5
G,5
G,5
G,4
G,4
G,4
G,5
G,4
G,4
G,5
G,5
G,5
G,4
G,5
G,5
G,4
G,4
G,4
G,4
G,5
G,4
G,4
G,4
G,4
J,5
J,5
J,4
J,5
J,5
J,5
J,5
J,4
J,4
J,4
J,4
J,4
J,5
J,4
J,4
J,4
J,4
J,5
J,5
J,4
J,4
J,4
J,4
J,4
J,4
J,4
J,4
J,4
J,5
J,5
A,5
A,5
A,3
A,3
A,3
A,3
A,3
A,4
A,4
A,4
A,4
A,5
A,4
A,4
A,4
A,4
A,4
A,4
A,4
A,4
A,4
A,4
A,4
A,4
A,4
A,4
A,4
A,5
A,5
A,4
U,5
U,5
U,5
U,5
U,5
U,5
U,5
U,5
U,5
U,5
U,5
U,5
U,5
U,5
U,5
U,5
U,4
U,5
U,5
U,5
U,5
U,5
U,5
U,5
U,5
U,5
U,5
U,5
U,5
U,5
V,5
V,5
V,3
V,4
V,4
V,3
V,3
V,3
V,5
V,5
V,5
V,5
V,4
V,4
V,4
V,5
V,3
V,3
V,2
V,4
V,5
V,4
V,4
V,5
V,4
V,4
V,4
V,4
V,5
V,5
K,5
K,5
K,5
K,5
K,5
K,4
K,4
K,4
K,2
K,4
K,4
K,4
K,2
K,2
K,5
K,5
K,4
K,4
K,5
K,4
K,4
K,4
K,4
K,4
K,4
K,4
K,4
K,4
K,4
K,4
R,5
R,5
R,5
R,5
R,2
R,3
R,3
R,5
R,5
R,4
R,4
R,2
R,3
R,5
R,3
R,4
R,4
R,3
R,3
R,3
R,4
R,4
R,2
R,4
R,4
R,5
R,2
R,3
R,4
R,3
Q,5
Q,5
Q,5
Q,5
Q,5
Q,5
Q,5
Q,5
Q,4
Q,4
Q,4
Q,4
Q,4
Q,4
Q,4
Q,4
Q,4
Q,4
Q,4
Q,4
Q,3
Q,3
Q,5
Q,4
Q,5
Q,5
Q,4
Q,4
Q,5
Q,5
O,5
O,3
O,5
O,5
O,5
O,5
O,4
O,5
O,4
O,4
O,4
O,4
O,2
O,2
O,4
O,4
O,2
O,5
O,2
O,4
O,5
O,5
O,5
O,5
O,4
O,2
O,4
O,4
O,3
O,3
H,5
H,5
H,5
H,5
H,5
H,5
H,5
H,5
